yr,gid,total_pop
2021,다사422259,682.0
2020,다사422259,706.0
2019,다사422259,755.0
2018,다사422259,759.0
2022,다사422259,662.0
2021,다사313233,6.0
2020,다사313233,0.0
2019,다사313233,0.0
2018,다사313233,0.0
2022,다사313233,0.0
2021,다사453222,84.0
2020,다사453222,77.0
2019,다사453222,82.0
2018,다사453222,83.0
2022,다사453222,76.0
2021,다사436269,6.0
2020,다사436269,7.0
2019,다사436269,8.0
2018,다사436269,0.0
2022,다사436269,6.0
2021,다사437232,295.0
2020,다사437232,313.0
2019,다사437232,296.0
2018,다사437232,375.0
2022,다사437232,291.0
2021,다사442211,0.0
2020,다사442211,0.0
2019,다사442211,0.0
2018,다사442211,0.0
2022,다사442211,0.0
2021,다사424216,440.0
2020,다사424216,448.0
2019,다사424216,472.0
2018,다사424216,488.0
2022,다사424216,417.0
2021,다사382275,79.0
2020,다사382275,70.0
2019,다사382275,82.0
2018,다사382275,91.0
2022,다사382275,79.0
2021,다사402252,380.0
2020,다사402252,392.0
2019,다사402252,377.0
2018,다사402252,411.0
2022,다사402252,367.0
2021,다사437220,701.0
2020,다사437220,716.0
2019,다사437220,886.0
2018,다사437220,921.0
2022,다사437220,680.0
2021,다사361222,0.0
2020,다사361222,0.0
2019,다사361222,0.0
2018,다사361222,0.0
2022,다사361222,0.0
2021,다사443214,184.0
2020,다사443214,214.0
2019,다사443214,233.0
2018,다사443214,235.0
2022,다사443214,203.0
2021,다사414258,93.0
2020,다사414258,90.0
2019,다사414258,91.0
2018,다사414258,93.0
2022,다사414258,90.0
2021,다사433222,1190.0
2020,다사433222,1225.0
2019,다사433222,1396.0
2018,다사433222,1455.0
2022,다사433222,1154.0
2021,다사370249,0.0
2020,다사370249,0.0
2019,다사370249,0.0
2018,다사370249,0.0
2022,다사370249,0.0
2021,다사419206,26.0
2020,다사419206,28.0
2019,다사419206,26.0
2018,다사419206,26.0
2022,다사419206,27.0
2021,다사444224,78.0
2020,다사444224,98.0
2019,다사444224,98.0
2018,다사444224,89.0
2022,다사444224,91.0
2021,다사400289,13.0
2020,다사400289,15.0
2019,다사400289,14.0
2018,다사400289,15.0
2022,다사400289,14.0
2021,다사378260,134.0
2020,다사378260,142.0
2019,다사378260,147.0
2018,다사378260,155.0
2022,다사378260,123.0
2021,다사416229,222.0
2020,다사416229,234.0
2019,다사416229,229.0
2018,다사416229,248.0
2022,다사416229,206.0
2021,다사384227,0.0
2020,다사384227,
2019,다사384227,
2018,다사384227,
2022,다사384227,0.0
2021,다사449280,0.0
2020,다사449280,0.0
2019,다사449280,0.0
2018,다사449280,0.0
2022,다사449280,0.0
2021,다사439263,592.0
2020,다사439263,601.0
2019,다사439263,573.0
2018,다사439263,602.0
2022,다사439263,581.0
2021,다사400256,19.0
2020,다사400256,16.0
2019,다사400256,30.0
2018,다사400256,28.0
2022,다사400256,21.0
2021,다사417234,231.0
2020,다사417234,249.0
2019,다사417234,251.0
2018,다사417234,238.0
2022,다사417234,244.0
2021,다사441236,223.0
2020,다사441236,201.0
2019,다사441236,223.0
2018,다사441236,237.0
2022,다사441236,225.0
2021,다사425228,223.0
2020,다사425228,232.0
2019,다사425228,254.0
2018,다사425228,271.0
2022,다사425228,214.0
2021,다사400273,258.0
2020,다사400273,254.0
2019,다사400273,308.0
2018,다사400273,329.0
2022,다사400273,246.0
2021,다사455218,0.0
2020,다사455218,8.0
2019,다사455218,10.0
2018,다사455218,13.0
2022,다사455218,0.0
2021,다사402240,131.0
2020,다사402240,129.0
2019,다사402240,150.0
2018,다사402240,152.0
2022,다사402240,131.0
2021,다사413247,1685.0
2020,다사413247,1693.0
2019,다사413247,1294.0
2018,다사413247,1149.0
2022,다사413247,1626.0
2021,다사431265,374.0
2020,다사431265,409.0
2019,다사431265,423.0
2018,다사431265,428.0
2022,다사431265,370.0
2021,다사419263,417.0
2020,다사419263,427.0
2019,다사419263,472.0
2018,다사419263,511.0
2022,다사419263,402.0
2021,다사418231,49.0
2020,다사418231,50.0
2019,다사418231,54.0
2018,다사418231,54.0
2022,다사418231,44.0
2021,다사417227,111.0
2020,다사417227,103.0
2019,다사417227,105.0
2018,다사417227,104.0
2022,다사417227,100.0
2021,다사400264,442.0
2020,다사400264,453.0
2019,다사400264,524.0
2018,다사400264,545.0
2022,다사400264,415.0
2021,다사444300,0.0
2020,다사444300,0.0
2019,다사444300,0.0
2018,다사444300,0.0
2022,다사444300,0.0
2021,다사391263,146.0
2020,다사391263,158.0
2019,다사391263,143.0
2018,다사391263,139.0
2022,다사391263,146.0
2021,다사417216,35.0
2020,다사417216,34.0
2019,다사417216,35.0
2018,다사417216,34.0
2022,다사417216,36.0
2021,다사405262,386.0
2020,다사405262,389.0
2019,다사405262,401.0
2018,다사405262,401.0
2022,다사405262,395.0
2021,다사434244,461.0
2020,다사434244,457.0
2019,다사434244,451.0
2018,다사434244,455.0
2022,다사434244,450.0
2021,다사362264,119.0
2020,다사362264,125.0
2019,다사362264,132.0
2018,다사362264,137.0
2022,다사362264,113.0
2021,다사418222,138.0
2020,다사418222,151.0
2019,다사418222,172.0
2018,다사418222,179.0
2022,다사418222,137.0
2021,다사421221,417.0
2020,다사421221,410.0
2019,다사421221,431.0
2018,다사421221,462.0
2022,다사421221,414.0
2021,다사362262,128.0
2020,다사362262,135.0
2019,다사362262,
2018,다사362262,
2022,다사362262,134.0
2021,다사380232,0.0
2020,다사380232,0.0
2019,다사380232,0.0
2018,다사380232,0.0
2022,다사380232,0.0
2021,다사446281,
2020,다사446281,
2019,다사446281,
2018,다사446281,
2022,다사446281,0.0
2021,다사448287,0.0
2020,다사448287,0.0
2019,다사448287,0.0
2018,다사448287,0.0
2022,다사448287,0.0
2021,다사408206,671.0
2020,다사408206,654.0
2019,다사408206,
2018,다사408206,
2022,다사408206,665.0
2021,다사399220,484.0
2020,다사399220,478.0
2019,다사399220,480.0
2018,다사399220,473.0
2022,다사399220,447.0
2021,다사421250,761.0
2020,다사421250,775.0
2019,다사421250,796.0
2018,다사421250,853.0
2022,다사421250,727.0
2021,다사444219,390.0
2020,다사444219,400.0
2019,다사444219,360.0
2018,다사444219,409.0
2022,다사444219,378.0
2021,다사433250,358.0
2020,다사433250,364.0
2019,다사433250,383.0
2018,다사433250,394.0
2022,다사433250,340.0
2021,다사399273,290.0
2020,다사399273,321.0
2019,다사399273,310.0
2018,다사399273,378.0
2022,다사399273,302.0
2021,다사402221,146.0
2020,다사402221,150.0
2019,다사402221,151.0
2018,다사402221,155.0
2022,다사402221,145.0
2021,다사440238,297.0
2020,다사440238,298.0
2019,다사440238,295.0
2018,다사440238,294.0
2022,다사440238,264.0
