MESURSTN_NM,MESRNW_NM,MESURE_DAY_TM,SUA_GAS_DNST_VL,COMNXD_DNST_VL,OZONE_DNST_VL,NO2_DNST_VL,FINEDUST_PM10_DNST_VL,FINEDUST_PM2_5_DNST_VL
고잔동,도시대기,2022-06-01 2:00,0.003,0.3,0.038,0.015,28,11
대부동,도시대기,2022-06-01 2:00,0.003,0.2,0.06,0.008,13,3
본오동,도시대기,2022-06-01 2:00,0.004,0.2,0.03,0.017,1,
원곡동,도시대기,2022-06-01 2:00,0.002,0.2,0.041,0.005,28,20
원시동,도시대기,2022-06-01 2:00,0.005,0.2,0.032,0.019,34,17
호수동,도시대기,2022-06-01 2:00,0.003,0.2,0.04,0.018,24,7
고잔동,도시대기,2022-06-01 4:00,0.003,0.3,0.042,0.01,23,8
대부동,도시대기,2022-06-01 4:00,0.004,0.2,0.052,0.01,16,8
본오동,도시대기,2022-06-01 4:00,0.003,0.2,0.034,0.012,,10
원곡동,도시대기,2022-06-01 4:00,0.002,0.2,0.044,0.002,27,10
원시동,도시대기,2022-06-01 4:00,0.004,0.2,0.042,0.011,30,13
호수동,도시대기,2022-06-01 4:00,0.003,0.2,0.043,0.014,24,7
고잔동,도시대기,2022-06-01 5:00,0.003,0.3,0.041,0.01,25,8
대부동,도시대기,2022-06-01 5:00,0.003,0.2,0.047,0.012,17,7
본오동,도시대기,2022-06-01 5:00,0.003,0.2,0.039,0.01,2,
원곡동,도시대기,2022-06-01 5:00,0.002,0.3,0.036,0.008,32,15
원시동,도시대기,2022-06-01 5:00,0.004,0.2,0.033,0.02,36,12
호수동,도시대기,2022-06-01 5:00,0.003,0.2,0.045,0.013,36,5
고잔동,도시대기,2022-06-01 6:00,0.003,0.3,0.032,0.017,25,8
대부동,도시대기,2022-06-01 6:00,0.004,0.2,0.049,0.012,11,7
본오동,도시대기,2022-06-01 6:00,0.003,0.2,0.029,0.018,,5
원곡동,도시대기,2022-06-01 6:00,0.001,0.3,0.023,0.019,42,15
원시동,도시대기,2022-06-01 6:00,0.004,0.3,0.032,0.018,39,16
호수동,도시대기,2022-06-01 6:00,0.004,0.3,0.036,0.02,22,5
고잔동,도시대기,2022-06-01 7:00,0.004,0.3,0.025,0.027,27,6
대부동,도시대기,2022-06-01 7:00,0.003,0.2,0.044,0.013,12,5
본오동,도시대기,2022-06-01 7:00,0.004,0.2,0.019,0.027,1,
